"n","p1","Deff","alpha","delta_p"
200,0.01,1.2,"95%",0.0151057159363345
300,0.01,1.2,"95%",0.0123337654144826
400,0.01,1.2,"95%",0.0106813541732598
200,0.02,1.2,"95%",0.0212545420396119
300,0.02,1.2,"95%",0.0173542609045277
400,0.02,1.2,"95%",0.0150292308072241
200,0.03,1.2,"95%",0.0258982375866234
300,0.03,1.2,"95%",0.0211458224415319
400,0.03,1.2,"95%",0.0183128194182817
200,0.04,1.2,"95%",0.029750161550619
300,0.04,1.2,"95%",0.0242909051881279
400,0.04,1.2,"95%",0.021036540973838
200,0.05,1.2,"95%",0.0330880003006804
300,0.05,1.2,"95%",0.0270162391152411
400,0.05,1.2,"95%",0.0233967493885136
200,0.06,1.2,"95%",0.0360548147259543
300,0.06,1.2,"95%",0.0294386329497243
400,0.06,1.2,"95%",0.0254946039871469
200,0.07,1.2,"95%",0.0387359499091364
300,0.07,1.2,"95%",0.0316277706597975
400,0.07,1.2,"95%",0.0273904528564528
200,0.08,1.2,"95%",0.0411872336436732
300,0.08,1.2,"95%",0.0336292354479306
400,0.08,1.2,"95%",0.029123772207756
200,0.09,1.2,"95%",0.0434475875566077
300,0.09,1.2,"95%",0.0354748066895282
400,0.09,1.2,"95%",0.0307220837874736
200,0.1,1.2,"95%",0.0455454472277398
300,0.1,1.2,"95%",0.0371877019382737
400,0.1,1.2,"95%",0.0322054945869088
200,0.11,1.2,"95%",0.0475023463765289
300,0.11,1.2,"95%",0.0387855034024804
400,0.11,1.2,"95%",0.0335892312451158
200,0.12,1.2,"95%",0.0493350616579304
300,0.12,1.2,"95%",0.0402819091635587
400,0.12,1.2,"95%",0.034885156648579
200,0.13,1.2,"95%",0.0510569677490059
300,0.13,1.2,"95%",0.0416878395996005
400,0.13,1.2,"95%",0.036102728122145
200,0.14,1.2,"95%",0.0526789317665937
300,0.14,1.2,"95%",0.0430121676743487
400,0.14,1.2,"95%",0.0372496298778218
200,0.15,1.2,"95%",0.0542099252704798
300,0.15,1.2,"95%",0.0442622186356943
400,0.15,1.2,"95%",0.0383322057663723
200,0.16,1.2,"95%",0.0556574558617957
300,0.16,1.2,"95%",0.045444122414292
400,0.16,1.2,"95%",0.0393557644634667
200,0.17,1.2,"95%",0.0570278794766178
300,0.17,1.2,"95%",0.0465630686102169
400,0.17,1.2,"95%",0.0403248002946056
200,0.18,1.2,"95%",0.0583266314097318
300,0.18,1.2,"95%",0.0476234951230778
400,0.18,1.2,"95%",0.0412431565935897
200,0.19,1.2,"95%",0.0595584005412247
300,0.19,1.2,"95%",0.048629230407434
400,0.19,1.2,"95%",0.0421141488993245
200,0.2,1.2,"95%",0.0607272629703197
300,0.2,1.2,"95%",0.0495836025843649
400,0.2,1.2,"95%",0.0429406594492118
200,0.21,1.2,"95%",0.0618367860591002
300,0.21,1.2,"95%",0.0504895243928146
400,0.21,1.2,"95%",0.0437252107491715
200,0.22,1.2,"95%",0.0628901105245226
300,0.22,1.2,"95%",0.0513495602174395
400,0.22,1.2,"95%",0.0444700236214614
200,0.23,1.2,"95%",0.0638900159873949
300,0.23,1.2,"95%",0.0521659796091257
400,0.23,1.2,"95%",0.0451770635548039
200,0.24,1.2,"95%",0.0648389738765787
300,0.24,1.2,"95%",0.0529408004810886
400,0.24,1.2,"95%",0.0458480781133062
200,0.25,1.2,"95%",0.0657391905432436
300,0.25,1.2,"95%",0.0536758243115147
400,0.25,1.2,"95%",0.0464846274228421
200,0.26,1.2,"95%",0.0665926427063027
300,0.26,1.2,"95%",0.0543726650846379
400,0.26,1.2,"95%",0.0470881092347596
200,0.27,1.2,"95%",0.0674011068258739
300,0.27,1.2,"95%",0.0550327732740705
400,0.27,1.2,"95%",0.0476597796960544
200,0.28,1.2,"95%",0.0681661836214381
300,0.28,1.2,"95%",0.0556574558617957
400,0.28,1.2,"95%",0.0482007706863262
200,0.29,1.2,"95%",0.0688893186719503
300,0.29,1.2,"95%",0.056247893158088
400,0.29,1.2,"95%",0.0487121043842571
200,0.3,1.2,"95%",0.0695718198272447
300,0.3,1.2,"95%",0.0568051530178651
400,0.3,1.2,"95%",0.0491947055793334
200,0.31,1.2,"95%",0.070214872003578
300,0.31,1.2,"95%",0.0573302029211993
400,0.31,1.2,"95%",0.0496494121338754
200,0.32,1.2,"95%",0.0708195498171109
300,0.32,1.2,"95%",0.0578239202885118
400,0.32,1.2,"95%",0.0500769839162576
200,0.33,1.2,"95%",0.0713868284176628
300,0.33,1.2,"95%",0.0582871013262959
400,0.33,1.2,"95%",0.0504781104615299
200,0.34,1.2,"95%",0.0719175928141548
300,0.34,1.2,"95%",0.0587204686413098
400,0.34,1.2,"95%",0.0508534175655018
200,0.35,1.2,"95%",0.0724126459276795
300,0.35,1.2,"95%",0.0591246778158803
400,0.35,1.2,"95%",0.0512034729791226
200,0.36,1.2,"95%",0.0728727155643836
300,0.36,1.2,"95%",0.0595003231012379
400,0.36,1.2,"95%",0.0515287913390541
200,0.37,1.2,"95%",0.0732984604655705
300,0.37,1.2,"95%",0.0598479423574044
400,0.37,1.2,"95%",0.051829838445739
200,0.38,1.2,"95%",0.0736904755645749
300,0.38,1.2,"95%",0.0601680213454136
400,0.38,1.2,"95%",0.0521070349805725
200,0.39,1.2,"95%",0.0740492965574879
300,0.39,1.2,"95%",0.0604609974592921
400,0.39,1.2,"95%",0.0523607597378934
200,0.4,1.2,"95%",0.0743754038765474
300,0.4,1.2,"95%",0.0607272629703197
400,0.4,1.2,"95%",0.0525913524345949
200,0.01,1.6,"95%",0.0174425783242895
300,0.01,1.6,"95%",0.0142418055643465
400,0.01,1.6,"95%",0.0123337654144826
200,0.02,1.6,"95%",0.0245426311361443
300,0.02,1.6,"95%",0.0200389744096322
400,0.02,1.6,"95%",0.0173542609045277
200,0.03,1.6,"95%",0.0299047088843478
300,0.03,1.6,"95%",0.024417092557709
400,0.03,1.6,"95%",0.0211458224415319
200,0.04,1.6,"95%",0.0343525275593694
300,0.04,1.6,"95%",0.0280487212984506
400,0.04,1.6,"95%",0.0242909051881279
200,0.05,1.6,"95%",0.0382067317610885
300,0.05,1.6,"95%",0.0311956658513515
400,0.05,1.6,"95%",0.0270162391152411
200,0.06,1.6,"95%",0.0416325139752236
300,0.06,1.6,"95%",0.0339928053161958
400,0.06,1.6,"95%",0.0294386329497243
200,0.07,1.6,"95%",0.0447284222147115
300,0.07,1.6,"95%",0.0365206038086037
400,0.07,1.6,"95%",0.0316277706597975
200,0.08,1.6,"95%",0.0475589208627015
300,0.08,1.6,"95%",0.038831696277008
400,0.08,1.6,"95%",0.0336292354479306
200,0.09,1.6,"95%",0.0501689527428946
300,0.09,1.6,"95%",0.0409627783832981
400,0.09,1.6,"95%",0.0354748066895282
200,0.1,1.6,"95%",0.0525913524345949
300,0.1,1.6,"95%",0.0429406594492118
400,0.1,1.6,"95%",0.0371877019382737
200,0.11,1.6,"95%",0.0548509849352556
300,0.11,1.6,"95%",0.0447856416601544
400,0.11,1.6,"95%",0.0387855034024804
200,0.12,1.6,"95%",0.0569672222573858
300,0.12,1.6,"95%",0.0465135421981054
400,0.12,1.6,"95%",0.0402819091635587
200,0.13,1.6,"95%",0.0589555081477892
300,0.13,1.6,"95%",0.0481369708295266
400,0.13,1.6,"95%",0.0416878395996005
200,0.14,1.6,"95%",0.0608283908721296
300,0.14,1.6,"95%",0.0496661731704291
400,0.14,1.6,"95%",0.0430121676743487
200,0.15,1.6,"95%",0.062596229895322
300,0.15,1.6,"95%",0.0511096076884963
400,0.15,1.6,"95%",0.0442622186356943
200,0.16,1.6,"95%",0.064267694248435
300,0.16,1.6,"95%",0.0524743526179556
400,0.16,1.6,"95%",0.045444122414292
200,0.17,1.6,"95%",0.0658501231342776
300,0.17,1.6,"95%",0.0537664003928074
400,0.17,1.6,"95%",0.0465630686102169
200,0.18,1.6,"95%",0.0673497926906655
300,0.18,1.6,"95%",0.0549908754581196
400,0.18,1.6,"95%",0.0476234951230778
200,0.19,1.6,"95%",0.0687721171699593
300,0.19,1.6,"95%",0.0561521985324327
400,0.19,1.6,"95%",0.048629230407434
200,0.2,1.6,"95%",0.0701218032461265
300,0.2,1.6,"95%",0.057254212598949
400,0.2,1.6,"95%",0.0495836025843649
200,0.21,1.6,"95%",0.0714029701540856
300,0.21,1.6,"95%",0.0583002809988954
400,0.21,1.6,"95%",0.0504895243928146
200,0.22,1.6,"95%",0.0726192444813969
300,0.22,1.6,"95%",0.0592933648286152
400,0.22,1.6,"95%",0.0513495602174395
200,0.23,1.6,"95%",0.0737738358577039
300,0.23,1.6,"95%",0.0602360847397385
400,0.23,1.6,"95%",0.0521659796091257
200,0.24,1.6,"95%",0.0748695980432436
300,0.24,1.6,"95%",0.0611307708177416
400,0.24,1.6,"95%",0.0529408004810886
200,0.25,1.6,"95%",0.0759090787128996
300,0.25,1.6,"95%",0.0619795032304562
400,0.25,1.6,"95%",0.0536758243115147
200,0.26,1.6,"95%",0.0768945603850649
300,0.26,1.6,"95%",0.0627841456463461
400,0.26,1.6,"95%",0.0543726650846379
200,0.27,1.6,"95%",0.0778280943391941
300,0.27,1.6,"95%",0.0635463729280725
400,0.27,1.6,"95%",0.0550327732740705
200,0.28,1.6,"95%",0.0787115289269335
300,0.28,1.6,"95%",0.064267694248435
400,0.28,1.6,"95%",0.0556574558617957
200,0.29,1.6,"95%",0.0795465333590808
300,0.29,1.6,"95%",0.0649494725123428
400,0.29,1.6,"95%",0.056247893158088
200,0.3,1.6,"95%",0.0803346178105437
300,0.3,1.6,"95%",0.0655929407724446
400,0.3,1.6,"95%",0.0568051530178651
200,0.31,1.6,"95%",0.0810771505047617
300,0.31,1.6,"95%",0.0661992161785006
400,0.31,1.6,"95%",0.0573302029211993
200,0.32,1.6,"95%",0.0817753723015941
300,0.32,1.6,"95%",0.0667693118883435
400,0.32,1.6,"95%",0.0578239202885118
200,0.33,1.6,"95%",0.0824304092070624
300,0.33,1.6,"95%",0.0673041472820398
400,0.33,1.6,"95%",0.0582871013262959
200,0.34,1.6,"95%",0.0830432831414443
300,0.34,1.6,"95%",0.0678045567540023
400,0.34,1.6,"95%",0.0587204686413098
200,0.35,1.6,"95%",0.0836149212381576
300,0.35,1.6,"95%",0.0682712973054968
400,0.35,1.6,"95%",0.0591246778158803
200,0.36,1.6,"95%",0.0841461638953518
300,0.36,1.6,"95%",0.0687050551187388
400,0.36,1.6,"95%",0.0595003231012379
200,0.37,1.6,"95%",0.0846377717619645
300,0.37,1.6,"95%",0.0691064512609853
400,0.37,1.6,"95%",0.0598479423574044
200,0.38,1.6,"95%",0.0850904318078377
300,0.38,1.6,"95%",0.0694760466407633
400,0.38,1.6,"95%",0.0601680213454136
200,0.39,1.6,"95%",0.0855047626015362
300,0.39,1.6,"95%",0.0698143463171912
400,0.39,1.6,"95%",0.0604609974592921
200,0.4,1.6,"95%",0.0858813188984235
300,0.4,1.6,"95%",0.0701218032461265
400,0.4,1.6,"95%",0.0607272629703197
200,0.01,2,"95%",0.0195013954179879
300,0.01,2,"95%",0.0159228226821067
400,0.01,2,"95%",0.0137895689426595
200,0.02,2,"95%",0.0274394957835608
300,0.02,2,"95%",0.0224042544896581
400,0.02,2,"95%",0.0194026535408955
200,0.03,2,"95%",0.0334344809563718
300,0.03,2,"95%",0.0272991393859708
400,0.03,2,"95%",0.023641748209703
200,0.04,2,"95%",0.0384072934108425
300,0.04,2,"95%",0.0313594237526409
400,0.04,2,"95%",0.0271580576178281
200,0.05,2,"95%",0.042716424707947
300,0.05,2,"95%",0.0348778147234954
400,0.05,2,"95%",0.0302050735790339
200,0.06,2,"95%",0.046546565661405
300,0.06,2,"95%",0.0380051117164651
400,0.06,2,"95%",0.0329133922201244
200,0.07,2,"95%",0.0500078962992033
300,0.07,2,"95%",0.0408312763476878
400,0.07,2,"95%",0.0353609225860403
200,0.08,2,"95%",0.0531724899927667
300,0.08,2,"95%",0.0434151562785077
400,0.08,2,"95%",0.0375986282464592
200,0.09,2,"95%",0.0560905943465434
300,0.09,2,"95%",0.0457977785061567
400,0.09,2,"95%",0.0396620396232247
200,0.1,2,"95%",0.0587989195362016
300,0.1,2,"95%",0.0480091167635531
400,0.1,2,"95%",0.0415771147304903
200,0.11,2,"95%",0.0613252654740242
300,0.11,2,"95%",0.0500718695840259
400,0.11,2,"95%",0.0433635110747478
200,0.12,2,"95%",0.0636912907284269
300,0.12,2,"95%",0.0520037211146343
400,0.12,2,"95%",0.0450365435765945
200,0.13,2,"95%",0.0659142619332497
300,0.13,2,"95%",0.053818769502873
400,0.13,2,"95%",0.0466084215899072
200,0.14,2,"95%",0.0680082084760048
300,0.14,2,"95%",0.0555284696956779
400,0.14,2,"95%",0.0480890653897314
200,0.15,2,"95%",0.0699847125905723
300,0.15,2,"95%",0.0571422785474119
400,0.15,2,"95%",0.0494866648521852
200,0.16,2,"95%",0.0718534665483364
300,0.16,2,"95%",0.0586681097645214
400,0.16,2,"95%",0.0508080734480894
200,0.17,2,"95%",0.0736226758274881
300,0.17,2,"95%",0.0601126630918944
400,0.17,2,"95%",0.0520590933267158
200,0.18,2,"95%",0.0752993573634233
300,0.18,2,"95%",0.0614816678332901
400,0.18,2,"95%",0.0532446862106658
200,0.19,2,"95%",0.0768895644743047
300,0.19,2,"95%",0.0627800665022917
400,0.19,2,"95%",0.0543691324422611
200,0.2,2,"95%",0.0783985593816021
300,0.2,2,"95%",0.0640121556847375
400,0.2,2,"95%",0.0554361529739871
200,0.21,2,"95%",0.079830947529962
300,0.21,2,"95%",0.0651816957104347
400,0.21,2,"95%",0.0564490043469836
200,0.22,2,"95%",0.08119078356754
300,0.22,2,"95%",0.0662919971857394
400,0.22,2,"95%",0.0574105536304568
200,0.23,2,"95%",0.0824816559693687
300,0.23,2,"95%",0.0673459900882465
400,0.23,2,"95%",0.0583233382594365
200,0.24,2,"95%",0.083706755336389
300,0.24,2,"95%",0.0683462795327153
400,0.24,2,"95%",0.0591896143294839
200,0.25,2,"95%",0.0848689300557129
300,0.25,2,"95%",0.0692951912174839
400,0.25,2,"95%",0.0600113959544414
200,0.26,2,"95%",0.0859707320604838
300,0.26,2,"95%",0.0701948087872386
400,0.26,2,"95%",0.0607904876235398
200,0.27,2,"95%",0.0870144547508523
300,0.27,2,"95%",0.0710470047953612
400,0.27,2,"95%",0.0615285110155776
200,0.28,2,"95%",0.0880021646467821
300,0.28,2,"95%",0.0718534665483364
400,0.28,2,"95%",0.0622269273808347
200,0.29,2,"95%",0.0889357279826797
300,0.29,2,"95%",0.0726157178201763
400,0.29,2,"95%",0.062887056346315
200,0.3,2,"95%",0.0898168331854205
300,0.3,2,"95%",0.0733351372056518
400,0.3,2,"95%",0.0635100918101118
200,0.31,2,"95%",0.0906470099753143
300,0.31,2,"95%",0.0740129737161656
400,0.31,2,"95%",0.0640971154478294
200,0.32,2,"95%",0.091427645675859
300,0.32,2,"95%",0.0746503600966104
400,0.32,2,"95%",0.0646491082453208
200,0.33,2,"95%",0.0921599992000581
300,0.33,2,"95%",0.0752483242451494
400,0.33,2,"95%",0.0651669603885079
200,0.34,2,"95%",0.0928452130895159
300,0.34,2,"95%",0.0758077990430959
400,0.34,2,"95%",0.0656514797763067
200,0.35,2,"95%",0.0934843239109057
300,0.35,2,"95%",0.0763296308435946
400,0.35,2,"95%",0.0661033993720411
200,0.36,2,"95%",0.0940782712579226
300,0.36,2,"95%",0.0768145868216849
400,0.36,2,"95%",0.0665233835687845
200,0.37,2,"95%",0.0946279055619324
300,0.37,2,"95%",0.0772633613516696
400,0.37,2,"95%",0.0669120337123226
200,0.38,2,"95%",0.0951339948785677
300,0.38,2,"95%",0.0776765815483464
400,0.38,2,"95%",0.0672698929000015
200,0.39,2,"95%",0.0955972307885083
300,0.39,2,"95%",0.0780548120849758
400,0.39,2,"95%",0.0675974501532096
200,0.4,2,"95%",0.0960182335271062
300,0.4,2,"95%",0.0783985593816021
400,0.4,2,"95%",0.0678951440445703
200,0.01,2.4,"95%",0.0213627083465197
300,0.01,2.4,"95%",0.0174425783242895
400,0.01,2.4,"95%",0.0151057159363345
200,0.02,2.4,"95%",0.0300584616144482
300,0.02,2.4,"95%",0.0245426311361443
400,0.02,2.4,"95%",0.0212545420396119
200,0.03,2.4,"95%",0.0366256388365635
300,0.03,2.4,"95%",0.0299047088843478
400,0.03,2.4,"95%",0.0258982375866234
200,0.04,2.4,"95%",0.0420730819476759
300,0.04,2.4,"95%",0.0343525275593694
400,0.04,2.4,"95%",0.029750161550619
200,0.05,2.4,"95%",0.0467934987770272
300,0.05,2.4,"95%",0.0382067317610885
400,0.05,2.4,"95%",0.0330880003006804
200,0.06,2.4,"95%",0.0509892079742938
300,0.06,2.4,"95%",0.0416325139752236
400,0.06,2.4,"95%",0.0360548147259543
200,0.07,2.4,"95%",0.0547809057129056
300,0.07,2.4,"95%",0.0447284222147115
400,0.07,2.4,"95%",0.0387359499091364
200,0.08,2.4,"95%",0.0582475444155121
300,0.08,2.4,"95%",0.0475589208627015
400,0.08,2.4,"95%",0.0411872336436732
200,0.09,2.4,"95%",0.0614441675749471
300,0.09,2.4,"95%",0.0501689527428946
400,0.09,2.4,"95%",0.0434475875566077
200,0.1,2.4,"95%",0.0644109891738176
300,0.1,2.4,"95%",0.0525913524345949
400,0.1,2.4,"95%",0.0455454472277398
200,0.11,2.4,"95%",0.0671784624902316
300,0.11,2.4,"95%",0.0548509849352556
400,0.11,2.4,"95%",0.0475023463765289
200,0.12,2.4,"95%",0.0697703132971581
300,0.12,2.4,"95%",0.0569672222573858
400,0.12,2.4,"95%",0.0493350616579304
200,0.13,2.4,"95%",0.0722054562442899
300,0.13,2.4,"95%",0.0589555081477892
400,0.13,2.4,"95%",0.0510569677490059
200,0.14,2.4,"95%",0.0744992597556437
300,0.14,2.4,"95%",0.0608283908721296
400,0.14,2.4,"95%",0.0526789317665937
200,0.15,2.4,"95%",0.0766644115327445
300,0.15,2.4,"95%",0.062596229895322
400,0.15,2.4,"95%",0.0542099252704798
200,0.16,2.4,"95%",0.0787115289269334
300,0.16,2.4,"95%",0.064267694248435
400,0.16,2.4,"95%",0.0556574558617957
200,0.17,2.4,"95%",0.0806496005892112
300,0.17,2.4,"95%",0.0658501231342776
400,0.17,2.4,"95%",0.0570278794766178
200,0.18,2.4,"95%",0.0824863131871793
300,0.18,2.4,"95%",0.0673497926906655
400,0.18,2.4,"95%",0.0583266314097318
200,0.19,2.4,"95%",0.084228297798649
300,0.19,2.4,"95%",0.0687721171699593
400,0.19,2.4,"95%",0.0595584005412247
200,0.2,2.4,"95%",0.0858813188984235
300,0.2,2.4,"95%",0.0701218032461265
400,0.2,2.4,"95%",0.0607272629703197
200,0.21,2.4,"95%",0.087450421498343
300,0.21,2.4,"95%",0.0714029701540856
400,0.21,2.4,"95%",0.0618367860591002
200,0.22,2.4,"95%",0.0889400472429228
300,0.22,2.4,"95%",0.0726192444813969
400,0.22,2.4,"95%",0.0628901105245226
200,0.23,2.4,"95%",0.0903541271096077
300,0.23,2.4,"95%",0.0737738358577039
400,0.23,2.4,"95%",0.0638900159873949
200,0.24,2.4,"95%",0.0916961562266123
300,0.24,2.4,"95%",0.0748695980432436
400,0.24,2.4,"95%",0.0648389738765787
200,0.25,2.4,"95%",0.0929692548456842
300,0.25,2.4,"95%",0.0759090787128996
400,0.25,2.4,"95%",0.0657391905432436
200,0.26,2.4,"95%",0.0941762184695191
300,0.26,2.4,"95%",0.0768945603850649
400,0.26,2.4,"95%",0.0665926427063027
200,0.27,2.4,"95%",0.0953195593921087
300,0.27,2.4,"95%",0.0778280943391941
400,0.27,2.4,"95%",0.0674011068258739
200,0.28,2.4,"95%",0.0964015413726525
300,0.28,2.4,"95%",0.0787115289269334
400,0.28,2.4,"95%",0.0681661836214381
200,0.29,2.4,"95%",0.0974242087685142
300,0.29,2.4,"95%",0.0795465333590808
400,0.29,2.4,"95%",0.0688893186719503
200,0.3,2.4,"95%",0.0983894111586668
300,0.3,2.4,"95%",0.0803346178105437
400,0.3,2.4,"95%",0.0695718198272447
200,0.31,2.4,"95%",0.0992988242677509
300,0.31,2.4,"95%",0.0810771505047617
400,0.31,2.4,"95%",0.070214872003578
200,0.32,2.4,"95%",0.100153967832515
300,0.32,2.4,"95%",0.0817753723015941
400,0.32,2.4,"95%",0.0708195498171109
200,0.33,2.4,"95%",0.10095622092306
300,0.33,2.4,"95%",0.0824304092070624
400,0.33,2.4,"95%",0.0713868284176628
200,0.34,2.4,"95%",0.101706835131004
300,0.34,2.4,"95%",0.0830432831414443
400,0.34,2.4,"95%",0.0719175928141548
200,0.35,2.4,"95%",0.102406945958245
300,0.35,2.4,"95%",0.0836149212381576
400,0.35,2.4,"95%",0.0724126459276795
200,0.36,2.4,"95%",0.103057582678108
300,0.36,2.4,"95%",0.0841461638953518
400,0.36,2.4,"95%",0.0728727155643836
200,0.37,2.4,"95%",0.103659676891478
300,0.37,2.4,"95%",0.0846377717619645
400,0.37,2.4,"95%",0.0732984604655705
200,0.38,2.4,"95%",0.104214069961145
300,0.38,2.4,"95%",0.0850904318078377
400,0.38,2.4,"95%",0.0736904755645749
200,0.39,2.4,"95%",0.104721519475787
300,0.39,2.4,"95%",0.0855047626015362
400,0.39,2.4,"95%",0.0740492965574879
200,0.4,2.4,"95%",0.10518270486919
300,0.4,2.4,"95%",0.0858813188984235
400,0.4,2.4,"95%",0.0743754038765474
